Date,Open,High,Low,Close,Volume,Market Cap
27-06-2021,0.24604547,0.26689135,0.24089435,0.26444968,2167521670.48,34431598885.98
26-06-2021,0.23767328,0.25512667,0.23097211,0.2447839,2649457301.97,31867533718.63
25-06-2021,0.26348025,0.28914532,0.23000565,0.23915293,5542163262.31,31131171916.24
24-06-2021,0.23496975,0.26868954,0.22252695,0.26278229,3844648059.04,34205589762.94
23-06-2021,0.19067143,0.24711037,0.18097941,0.23217351,5098674891.27,30217348680.34
22-06-2021,0.17868229,0.21612161,0.16465379,0.19103065,5992850344.48,24858743141.63
21-06-2021,0.28065974,0.28088891,0.16649053,0.17869117,5640232166.5,23250576500.19
20-06-2021,0.2863944,0.28972659,0.2564666,0.28090031,1963503799.66,36545750821.57
19-06-2021,0.29364877,0.29780315,0.28618894,0.28735578,1003248257.66,37382435534.28
18-06-2021,0.30642788,0.30775155,0.28048082,0.29347221,1846213588.84,38174078174.69
17-06-2021,0.30774912,0.31401057,0.30331583,0.30649565,1120766442.26,39863941887.09
16-06-2021,0.32037776,0.32139252,0.30548451,0.30776119,1391720787.82,40024275630.03
15-06-2021,0.3267852,0.33049503,0.31697569,0.32838122,1687965229.59,42701157582.26
14-06-2021,0.32390277,0.33692666,0.32008656,0.33208479,1613812022.94,43173647089.37
13-06-2021,0.31248462,0.33002575,0.3078921,0.32438177,1484851447.18,42172193661.72
12-06-2021,0.31889334,0.31933176,0.30180358,0.31208361,1605633791.28,40569059978.02
11-06-2021,0.326364,0.33322266,0.3115018,0.31935918,1834446577.27,41510465776.58
10-06-2021,0.34333929,0.34452856,0.32327813,0.3263507,2114010548.69,42414763170.84
09-06-2021,0.32642343,0.353762,0.31313147,0.34333093,3154332929.24,44616868085.87
08-06-2021,0.33182177,0.34143501,0.29666006,0.32768651,3918487504.47,42579375328.89
07-06-2021,0.37156634,0.37967759,0.32980618,0.33104994,3043974994.46,43011807788.11
06-06-2021,0.3716764,0.37679823,0.36725393,0.37180708,1836611411.12,48302113585.76
05-06-2021,0.37675215,0.39388581,0.36048813,0.3721774,3464039040.87,48345164969.3
04-06-2021,0.40098194,0.40098194,0.35144232,0.37632255,5889983047.61,48877461704.78
03-06-2021,0.42373928,0.44076295,0.37881918,0.39996289,6809900029.99,51942452227.66
02-06-2021,0.37030194,0.44459,0.35258814,0.42337353,11425588479.36,54976914118.84
01-06-2021,0.32574441,0.38307865,0.3123596,0.37007655,5796031086.9,48050998400.7
31-05-2021,0.30194858,0.32916285,0.29433017,0.32581045,2440829324.83,42298953605.59
30-05-2021,0.30296943,0.31032434,0.28768016,0.30222359,1929947932.87,39232589725.88
29-05-2021,0.31139811,0.3179185,0.28179255,0.30310971,2470710736.98,39344899568.67
28-05-2021,0.33365093,0.34787881,0.30151795,0.31120487,3289455639.59,40391360015.69
27-05-2021,0.35346291,0.35346291,0.32814405,0.33294531,2485942308.87,43208473793.46
26-05-2021,0.34639616,0.36591973,0.33885732,0.35369307,3355793259.87,45896157271.11
25-05-2021,0.36604128,0.38001017,0.32349721,0.34630195,5544552739.46,44932307821.98
24-05-2021,0.30671532,0.37148511,0.29629074,0.36616223,6821088755.11,47504120043.08
23-05-2021,0.34252179,0.35086283,0.24943722,0.30807063,7143545370.99,39963404928.94
22-05-2021,0.35871667,0.36051699,0.31816884,0.34237123,5243222352.1,44408253680.43
21-05-2021,0.39812371,0.41197455,0.31476616,0.35938192,7452862202.61,46609753575.48
20-05-2021,0.3302522,0.43319208,0.29625272,0.40019368,12415484459.76,51897302336.31
19-05-2021,0.47643534,0.68473451,0.21826701,0.33312345,15072620945.6,43194982873.26
18-05-2021,0.48695351,0.51559882,0.47038424,0.47611501,4802902841.11,61729644540.68
17-05-2021,0.51341305,0.51522146,0.45855106,0.48789165,7330830503.76,63249211418.03
16-05-2021,0.50790986,0.54814535,0.45102325,0.51489521,9541552063.81,66742824281.73
15-05-2021,0.55966842,0.56267582,0.49129942,0.50797205,9836892944.13,65838461456.06
14-05-2021,0.48707005,0.58968988,0.46462199,0.55960438,20466177001.95,72522897885.14
13-05-2021,0.39217599,0.51946095,0.35717463,0.49037394,18663174069.39,63544125613.74
12-05-2021,0.49374215,0.51997503,0.38537602,0.38537602,8621337859.47,49932901318.52
11-05-2021,0.45048767,0.54665073,0.44503421,0.49523086,14566975476.18,64161634640.97
10-05-2021,0.56968708,0.56968708,0.42129132,0.44996367,16514521828.47,58290605342.54
09-05-2021,0.63582032,0.69762489,0.42570568,0.57007049,46138063928.31,73841942943.13
08-05-2021,0.68780147,0.7375666,0.60816772,0.63643918,25555125134.82,82429781486.69
07-05-2021,0.5811097,0.73197154,0.52017412,0.68477698,28615083656.92,88680824303.07
06-05-2021,0.65284241,0.66361576,0.54510206,0.58080387,18989900290.93,75207782074.35
05-05-2021,0.53735514,0.69526219,0.5238221,0.65763288,42525098292.37,85147176076.82
04-05-2021,0.44027394,0.60599787,0.40079964,0.54133438,38238126181.09,70081925802.27
03-05-2021,0.37363145,0.44556693,0.37363145,0.44170671,10526649977.7,57177802914.14
02-05-2021,0.39108719,0.40002878,0.36487366,0.3760461,8040406917.81,48672985630.28
01-05-2021,0.33755868,0.39713547,0.32829023,0.39298743,10123343702.53,50860335490.55
30-04-2021,0.30470232,0.33975655,0.30298088,0.33756111,5290390981.78,43681559535.48
29-04-2021,0.32323237,0.32388057,0.29690443,0.30516938,5027354503.11,39485786704.47
28-04-2021,0.27227263,0.34466233,0.25623111,0.32368163,14464343767.19,41876610358.69
27-04-2021,0.27142657,0.27962881,0.26492827,0.2721883,3590611310.37,35210893019.04
26-04-2021,0.25124009,0.28045173,0.24802595,0.27067449,5118886527.26,35011409694.47
25-04-2021,0.2697894,0.28877098,0.22630098,0.25111084,6849914674.94,32477418138.14
24-04-2021,0.24954419,0.28938986,0.22989127,0.27021226,11057578567.93,34944176235.42
