Date,Open,High,Low,Close,Volume,Market Cap
27-06-2021,1830.99691808,1979.95812503,1811.24586446,1978.89466209,19885474742.15,230473556118.35
26-06-2021,1810.88425347,1850.17977935,1719.55946366,1829.23921725,20637542360.58,213021180909.06
25-06-2021,1989.21578936,2017.75946419,1794.40042371,1813.21723241,22774334997.86,211131091601.59
24-06-2021,1968.95742293,2032.33938945,1887.43204576,1988.45627579,20272845769.47,231509317649.28
23-06-2021,1878.62503409,2043.53044333,1827.57148248,1989.73627073,28408659206.49,231625292666.93
22-06-2021,1886.66763512,1993.15982243,1707.60059497,1874.95002135,35547251725.26,218244605870.43
21-06-2021,2245.31786886,2259.46405052,1867.18544305,1888.44749682,33745173824.91,219790202019.87
20-06-2021,2171.33797181,2275.38275356,2049.96255307,2246.36453295,22535930423.06,261416943133.97
19-06-2021,2235.15918242,2278.41493026,2168.88499272,2178.49913873,18765854895.91,253490067194.04
18-06-2021,2374.58702943,2377.19517526,2147.30824917,2231.73314201,22752818387.52,259654503060.1
17-06-2021,2367.3065181,2457.17548975,2312.30147692,2372.00202359,21871633186.2,275942664676.82
16-06-2021,2544.86481635,2554.62882845,2354.35054343,2367.6634963,24101926180.22,275405856979.43
15-06-2021,2587.76279174,2639.2292435,2515.15306818,2610.93672749,29005279218.65,303650794387.71
14-06-2021,2508.77046164,2606.43292939,2469.38814386,2537.8911584,26964576331.1,295112636977.77
13-06-2021,2372.69009569,2547.36790994,2312.64016947,2508.39163246,27092945369.98,291673894434.5
12-06-2021,2354.75221787,2447.22786812,2265.75800259,2372.48445358,25724364409.83,275838937026.5
11-06-2021,2472.85883593,2495.41470549,2326.86958552,2353.76868661,24832564195.39,273631367134.69
10-06-2021,2611.14265155,2619.95779308,2435.40156701,2471.51867508,28753626390.06,287286991033.16
09-06-2021,2510.19919208,2625.07067357,2412.19780237,2608.26698585,36075832186.41,303147462062.01
08-06-2021,2594.60234984,2620.8462685,2315.5465788,2517.43862412,41909736777.66,292557075207.19
07-06-2021,2713.04739387,2845.18501945,2583.99521905,2590.26330395,30600111276.75,300985400826.16
06-06-2021,2629.74870279,2743.44109197,2616.16239542,2715.09266119,25311639413.72,315453931557.78
05-06-2021,2691.61950569,2817.48490411,2558.23370309,2630.57680077,30496672724.27,305598725248.73
04-06-2021,2857.16561644,2857.16561644,2562.63738515,2688.19499931,34173841610.91,312256566094.89
03-06-2021,2708.37614098,2891.254971,2667.68422137,2855.12653096,30038207401.87,331608133101.08
02-06-2021,2634.45599562,2801.39239636,2555.40148136,2706.12497095,27723267358.58,314266256163.17
01-06-2021,2707.56059635,2739.73760667,2531.16064064,2633.51841662,27363223089.54,305798597367.09
31-05-2021,2387.19847424,2715.85501639,2279.50522543,2714.94534372,31007383150.37,315217277482.81
30-05-2021,2278.28870326,2472.18781806,2188.83450392,2390.305302,25876619427.51,277492990926.56
29-05-2021,2414.06718246,2566.93859706,2208.49092734,2279.51417661,33773720220.19,264600384052.02
28-05-2021,2742.46898406,2761.36336634,2336.36123343,2419.90629016,39999114804.5,280864129342.71
27-05-2021,2888.75238778,2888.75238778,2642.60784134,2736.48858585,33373635282.74,317571010584.69
26-05-2021,2707.05274042,2911.73570619,2652.09450965,2888.69868104,42499766019.91,335196485645.87
25-05-2021,2649.03321812,2750.53497919,2394.35556015,2706.62898111,49558333255.67,314033309034.22
24-05-2021,2099.93591438,2672.59567001,2090.63957366,2643.5909947,53697121740.17,306684156289.66
23-05-2021,2298.3670668,2384.41169702,1737.46874792,2109.57985208,56005721976.73,244704904961.26
22-05-2021,2436.01456723,2483.98311416,2168.12431696,2295.70565666,42089937660.13,266263966983.58
21-05-2021,2772.34127594,2938.20508382,2113.34714855,2430.62138539,53774070802.37,281879243639.06
20-05-2021,2439.63869914,2993.14518268,2170.22905763,2784.29415835,67610826679.69,322857390498.81
19-05-2021,3382.65714987,3437.93578796,1952.46023203,2460.67920048,84482912776.49,285298709244.81
18-05-2021,3276.87233937,3562.46515966,3246.40408372,3380.0700925,40416525218.24,391850295263.05
17-05-2021,3581.34294042,3587.7656099,3129.00885833,3282.39779583,54061732773.88,380482843865.21
16-05-2021,3641.83069793,3878.89597502,3350.95158829,3587.50620646,47359478733.83,415801534961.9
15-05-2021,4075.95155569,4129.18552263,3638.12204192,3638.12204192,42422321751.05,421619090682.82
14-05-2021,3720.12221785,4171.01696316,3703.39999909,4079.05745857,48174271215.31,472663570788.42
13-05-2021,3828.91836092,4032.5635388,3549.40719401,3715.14846639,78398214538.75,430445282301.28
12-05-2021,4174.63587254,4362.3505418,3785.84860304,3785.84860304,69023382175.45,438585075673.54
11-05-2021,3948.27190857,4178.20881516,3783.88947357,4168.70104865,52679737865.42,482881900490.93
10-05-2021,3924.41325439,4197.47327657,3684.45161614,3952.29387234,62691789006.63,457761219806.87
09-05-2021,3911.46305659,3981.259091,3743.9891129,3928.84470583,50568290277.97,454991994900.07
08-05-2021,3481.98813258,3950.16493281,3453.76856708,3902.64773368,50208491286.48,451905650093.71
07-05-2021,3490.10521331,3573.29,3370.26206077,3484.72889546,39607240514.89,403465702897.42
06-05-2021,3524.93091226,3598.8958895,3386.23992743,3490.88045894,44300394787.61,404131394792.06
05-05-2021,3240.5545932,3541.46264636,3213.10146525,3522.78318978,48334198382.53,407777080466
04-05-2021,3431.13167849,3523.58582135,3180.74266288,3253.62947001,62402045157.94,376577399573.76
03-05-2021,2951.17575409,3450.0378763,2951.17575409,3431.08613981,49174290211.7,397069786479.46
02-05-2021,2945.56009991,2984.89188214,2860.52607535,2952.05605494,28032013046.65,341593133885.94
