Date,Open,High,Low,Close,Volume,Market Cap
27-06-2021,1.33116905,1.39226409,1.31776372,1.38683123,2024857.14,91155965.64
26-06-2021,1.33405314,1.36417594,1.26730279,1.33048551,1750914.17,87452380.16
25-06-2021,1.43679649,1.472616,1.32028673,1.33408888,2554749.59,87689228.12
24-06-2021,1.40957785,1.473002,1.3701283,1.43680858,2504141.6,94440960.62
23-06-2021,1.29046608,1.49312097,1.26013128,1.39815436,5823956.89,91900231.22
22-06-2021,1.46909832,1.48642846,1.16776682,1.29075058,8186618.55,84840616.15
21-06-2021,1.73316878,1.73939123,1.45201642,1.46774044,4903895.61,96474102.01
20-06-2021,1.83568881,1.8367448,1.63278364,1.73336881,5186676.02,113933768.49
19-06-2021,1.7931408,1.8601935,1.74507527,1.83567251,4396832.51,120658157.08
18-06-2021,1.80282326,1.88765812,1.74890758,1.79313819,4298322.26,117862390.25
17-06-2021,1.80736197,1.86056601,1.78265428,1.80301905,1642648.82,118511855.87
16-06-2021,1.89850669,1.91397981,1.79953638,1.80676673,2686183.54,118758189.42
15-06-2021,1.92708914,1.94727745,1.88057442,1.91753582,5047871.62,126039005.69
14-06-2021,1.9122973,1.97632017,1.85768095,1.91374592,5191039.72,125789897.02
13-06-2021,1.82466338,1.95241091,1.8112861,1.91276514,4423264.05,125725430.8
12-06-2021,1.85897979,1.86476002,1.75348908,1.8235382,4157127.53,119860573.06
11-06-2021,1.97462495,1.98346457,1.85003838,1.85849328,4833270.26,122158159.29
10-06-2021,2.07174333,2.08539088,1.92712043,1.97506335,5174158.19,129820271.67
09-06-2021,1.95015117,2.09809275,1.87524296,2.07163525,8041929.43,136167911.12
08-06-2021,2.08410609,2.12828859,1.71316575,1.95016733,14360210.32,128183864.44
07-06-2021,2.19356982,2.28064511,2.06765342,2.08286047,9140414.3,136905741.74
06-06-2021,2.16207994,2.28364215,2.15498895,2.19300114,5537622.81,144145251.72
05-06-2021,2.33269719,2.40492936,2.12595269,2.16207225,10839777.63,142112306.24
04-06-2021,2.46801187,2.46801187,2.13798173,2.33377916,23296835.97,153398545.62
03-06-2021,2.45402215,2.90958034,2.39320734,2.46993241,55896986.78,162347854.16
02-06-2021,2.28472165,2.51423083,2.26106559,2.4556615,13250182.4,161409831.91
01-06-2021,2.30782496,2.34410804,2.21986152,2.28487845,10388158.96,150184317.67
31-05-2021,2.21731177,2.3193483,2.06761727,2.30772594,15745518.03,151686075.52
30-05-2021,2.23977369,2.25323512,2.05192301,2.21725385,13755464.34,145739374.43
29-05-2021,2.15996361,2.34708028,1.92891807,2.24119771,21649474.15,147313196.67
28-05-2021,2.39706187,2.44251869,1.98819365,2.15982385,20092011.54,141964519.38
27-05-2021,2.32199397,2.6670872,2.1879591,2.39705882,34671627.26,157557896.93
26-05-2021,2.49437972,2.49437972,2.17592631,2.3221108,25334574.61,152631587.81
25-05-2021,1.70994455,2.49405137,1.60978979,2.49266476,72158508.73,163842043.95
